Date,GMHF_Mean,Mkt_RF,SMB,HML,RF,MOM,RMW,CMA,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,CS_factor,DGS10,DEF,DIV,GDP,INFLTN,MKT,RREL,TERM,UNEMP,VIX
199401,0.0211,2.87,0.14,2.09,0.25,0.02,-2.28,1.47,-0.13,-0.3,-0.22,-0.07,0.09,1.85,5.7,0.73,12.62,-1.96,146.3,2.87,0.41,2.71,6.6,10.63
199402,-0.064,-2.55,2.73,-1.44,0.21,-0.29,2.45,-1.05,0.46,0.14,-0.14,0.15,-0.13,1.77,6.15,0.68,12.67,0.11,146.7,-2.55,0.44,2.64,6.6,14.87
199403,-0.0343,-4.78,-0.98,1.31,0.27,-1.33,0.77,1.25,0.36,-0.11,0.03,0.03,-0.02,1.59,6.77,0.65,12.71,0.24,147.1,-4.78,0.61,2.89,6.5,20.45
199404,-0.012,0.68,-0.93,1.68,0.27,0.41,1.01,1.12,0.11,-0.08,0.01,0.01,-0.22,1.48,7.06,0.64,12.75,-0.1,147.2,0.68,0.89,3.19,6.4,13.77
199405,0.0225,0.58,-2.02,0.2,0.31,-2.15,0.9,0.71,0.06,-0.29,-0.03,0.03,-0.02,1.51,7.17,0.63,12.8,1.05,147.5,0.58,0.89,2.92,6.1,13.03
199406,0.0015,-3.03,-0.45,1.7,0.31,-0.82,1.16,1.51,0.2,0.28,-0.08,0.16,0.03,1.52,7.34,0.68,12.84,-0.26,147.9,-3.03,0.84,2.85,6.1,14.97
199407,0.0071,2.82,-1.73,0.59,0.28,0.19,-0.88,0.14,-0.2,-0.06,-0.06,0.01,-0.18,1.49,7.12,0.69,12.87,-0.02,148.4,2.82,0.84,2.84,6.1,11.13
199408,0.026,4.01,1.34,-2.82,0.37,1.55,0.87,-1.45,-0.1,-0.14,-0.11,-0.14,0.02,1.55,7.19,0.67,12.9,0.01,149,4.01,0.77,2.62,6,11.97
199409,-0.0012,-2.31,2.82,-1.9,0.37,1.32,0.61,0.95,0.11,-0.05,0.01,-0.13,-0.06,1.5,7.62,0.64,12.92,0.32,149.3,-2.31,0.81,2.71,5.9,14.28
199410,-0.0011,1.34,-2.34,-1.73,0.38,1.43,0.58,-0.64,-0.13,0.04,-0.09,-0.15,-0.15,1.4,7.81,0.63,13.01,0.85,149.4,1.34,0.8,2.64,5.8,14.56
199411,0.0039,-4.04,0.27,-0.94,0.37,-0.2,0.8,-0.45,-0.15,-0.23,-0.1,0.19,0.01,1.3,7.91,0.64,13.1,-0.1,149.8,-4.04,0.84,2.51,5.6,15.95
199412,-0.0098,0.86,0.04,0.55,0.44,3.5,0.42,0.31,-0.06,-0.16,-0.12,0.24,-0.07,1.3,7.84,0.64,13.17,0.36,150.1,0.86,1.07,2.05,5.5,13.2
